Ch	FreqNum	GIC_SW	CNTHigh	CNTLow	GAP	CCS_A	CCS_B	GIC1A	GIC1B	GIC2A	GIC2B	GIC3A	GIC3B	GIC4A	GIC4B	OffsetHigh	OffsetLow
9	4	8	0	1	1	131	171	128	128	128	128	128	128	128	128	0	6	
9	5	8	0	0	1	93	150	125	170	125	170	125	170	125	170	0	6	
9	6	4	0	0	5	98	83	127	112	127	112	127	112	127	112	0	5	
9	7	4	0	0	10	122	95	128	35	128	35	128	35	128	35	0	5	
9	8	2	0	0	25	131	48	122	36	122	36	122	36	122	36	0	3	
9	9	1	0	0	40	244	67	139	190	139	190	139	190	139	190	0	71	
9	16	0	0	199	1	143	227	128	128	128	128	128	128	128	128	0	6	
9	17	0	0	1	1	131	171	128	128	128	128	128	128	128	128	0	6	
9	18	4	0	0	5	98	83	127	112	127	112	127	112	127	112	0	5	
10	0	8	3	231	1	110	217	128	128	128	128	128	128	128	128	0	13	
10	1	8	0	199	1	94	222	128	128	128	128	128	128	128	128	0	12	
10	2	8	0	99	1	142	221	128	128	128	128	128	128	128	128	0	12	
10	3	8	0	9	1	123	208	128	128	128	128	128	128	128	128	0	12	
10	4	8	0	1	1	109	166	128	128	128	128	128	128	128	128	0	11	
10	5	8	0	0	1	95	147	126	158	126	158	126	158	126	158	0	11	
10	6	4	0	0	5	95	81	131	108	131	108	131	108	131	108	0	10	
10	7	4	0	0	10	122	93	124	34	124	34	124	34	124	34	0	9	
10	8	2	0	0	25	79	47	135	37	135	37	135	37	135	37	0	9	
10	9	1	0	0	40	243	62	139	186	139	186	139	186	139	186	255	214	
10	16	0	0	199	1	94	222	128	128	128	128	128	128	128	128	0	12	
10	17	0	0	1	1	109	166	128	128	128	128	128	128	128	128	0	11	
10	18	4	0	0	5	95	81	131	108	131	108	131	108	131	108	0	10	
11	0	8	3	231	1	117	216	128	128	128	128	128	128	128	128	0	8	
11	1	8	0	199	1	95	223	128	128	128	128	128	128	128	128	0	8	
11	2	8	0	99	1	126	222	128	128	128	128	128	128	128	128	0	8	
11	3	8	0	9	1	147	209	128	128	128	128	128	128	128	128	0	8	
11	4	8	0	1	1	141	167	128	128	128	128	128	128	128	128	0	7	
11	5	8	0	0	1	132	149	130	150	130	150	130	150	130	150	0	7	
11	6	4	0	0	5	111	82	125	109	125	109	125	109	125	109	0	5	
11	7	4	0	0	10	150	94	126	33	126	33	126	33	126	33	0	5	
11	8	2	0	0	25	215	47	129	35	129	35	129	35	129	35	0	3	
11	9	1	0	0	40	120	64	129	188	129	188	129	188	129	188	255	253	
11	16	0	0	199	1	95	223	128	128	128	128	128	128	128	128	0	8	
11	17	0	0	1	1	141	167	128	128	128	128	128	128	128	128	0	7	
11	18	4	0	0	5	111	82	125	109	125	109	125	109	125	109	0	5	
12	0	8	3	231	1	86	220	128	128	128	128	128	128	128	128	0	15	
12	1	8	0	199	1	104	224	128	128	128	128	128	128	128	128	0	14	
12	2	8	0	99	1	160	223	128	128	128	128	128	128	128	128	0	14	
12	3	8	0	9	1	117	211	128	128	128	128	128	128	128	128	0	15	
12	4	8	0	1	1	149	169	128	128	128	128	128	128	128	128	0	14	
12	5	8	0	0	1	185	148	129	166	129	166	129	166	129	166	0	13	
12	6	4	0	0	5	119	82	129	109	129	109	129	109	129	109	0	12	
12	7	4	0	0	10	120	94	126	33	126	33	126	33	126	33	0	11	
12	8	2	0	0	25	111	48	121	36	121	36	121	36	121	36	0	10	
12	9	1	0	0	40	168	65	133	197	133	197	133	197	133	197	0	18	
12	16	0	0	199	1	104	224	128	128	128	128	128	128	128	128	0	14	
12	17	0	0	1	1	149	169	128	128	128	128	128	128	128	128	0	14	
12	18	4	0	0	5	119	82	129	109	129	109	129	109	129	109	0	12	
13	0	8	3	231	1	191	218	128	128	128	128	128	128	128	128	0	9	
13	1	8	0	199	1	99	223	128	128	128	128	128	128	128	128	0	9	
13	2	8	0	99	1	161	222	128	128	128	128	128	128	128	128	0	9	
13	3	8	0	9	1	123	210	128	128	128	128	128	128	128	128	0	10	
13	4	8	0	1	1	116	168	128	128	128	128	128	128	128	128	0	9	
13	5	8	0	0	1	102	148	128	164	128	164	128	164	128	164	0	9	
13	6	4	0	0	5	104	81	127	115	127	115	127	115	127	115	0	7	
13	7	4	0	0	10	145	92	130	36	130	36	130	36	130	36	0	7	
13	8	2	0	0	25	17	146	255	255	255	255	255	255	255	255	0	60	
13	9	1	0	0	40	81	51	123	191	123	191	123	191	123	191	0	1	
13	16	0	0	199	1	99	223	128	128	128	128	128	128	128	128	0	9	
13	17	0	0	1	1	116	168	128	128	128	128	128	128	128	128	0	9	
13	18	4	0	0	5	104	81	127	115	127	115	127	115	127	115	0	7	
14	0	8	3	231	1	122	223	128	128	128	128	128	128	128	128	0	11	
14	1	8	0	199	1	174	229	128	128	128	128	128	128	128	128	0	10	
14	2	8	0	99	1	113	229	128	128	128	128	128	128	128	128	0	11	
14	3	8	0	9	1	149	216	128	128	128	128	128	128	128	128	0	11	
14	4	8	0	1	1	178	173	128	128	128	128	128	128	128	128	0	10	
14	5	8	0	0	1	118	154	126	157	126	157	126	157	126	157	0	9	
14	6	4	0	0	5	109	85	133	114	133	114	133	114	133	114	0	9	
14	7	4	0	0	10	131	98	131	36	131	36	131	36	131	36	0	8	
14	8	2	0	0	25	147	51	118	41	118	41	118	41	118	41	0	7	
14	9	1	0	0	40	131	67	130	191	130	191	130	191	130	191	255	236	
14	16	0	0	199	1	174	229	128	128	128	128	128	128	128	128	0	10	
14	17	0	0	1	1	178	173	128	128	128	128	128	128	128	128	0	10	
14	18	4	0	0	5	109	85	133	114	133	114	133	114	133	114	0	9	
15	0	8	3	231	1	173	203	128	128	128	128	128	128	128	128	0	12	
15	1	8	0	199	1	131	212	128	128	128	128	128	128	128	128	0	11	
15	2	8	0	99	1	116	212	128	128	128	128	128	128	128	128	0	11	
15	3	8	0	9	1	191	200	128	128	128	128	128	128	128	128	0	11	
15	4	8	0	1	1	102	160	128	128	128	128	128	128	128	128	0	10	
15	5	8	0	0	1	150	144	125	139	125	139	125	139	125	139	0	10	
15	6	4	0	0	5	96	79	129	117	129	117	129	117	129	117	0	9	
15	7	4	0	0	10	95	91	131	37	131	37	131	37	131	37	0	8	
15	8	2	0	0	25	92	46	132	37	132	37	132	37	132	37	0	7	
15	9	1	0	0	40	133	63	130	193	130	193	130	193	130	193	255	158	
15	16	0	0	199	1	131	212	128	128	128	128	128	128	128	128	0	11	
15	17	0	0	1	1	102	160	128	128	128	128	128	128	128	128	0	10	
15	18	4	0	0	5	96	79	129	117	129	117	129	117	129	117	0	9	
16	0	8	3	231	1	93	220	128	128	128	128	128	128	128	128	0	10	
16	1	8	0	199	1	92	225	128	128	128	128	128	128	128	128	0	10	
16	2	8	0	99	1	137	224	128	128	128	128	128	128	128	128	0	10	
16	3	8	0	9	1	150	210	128	128	128	128	128	128	128	128	0	11	
16	4	8	0	1	1	174	169	128	128	128	128	128	128	128	128	0	10	
16	5	8	0	0	1	111	151	131	161	131	161	131	161	131	161	0	9	
16	6	4	0	0	5	146	85	127	120	127	120	127	120	127	120	0	8	
16	7	4	0	0	10	163	99	132	41	132	41	132	41	132	41	0	8	
16	8	2	0	0	25	96	57	127	42	127	42	127	42	127	42	0	7	
16	9	1	0	0	40	177	79	128	187	128	187	128	187	128	187	255	163	
16	16	0	0	199	1	92	225	128	128	128	128	128	128	128	128	0	10	
16	17	0	0	1	1	174	169	128	128	128	128	128	128	128	128	0	10	
16	18	4	0	0	5	146	85	127	120	127	120	127	120	127	120	0	8	
17	0	8	3	231	1	122	222	128	128	128	128	128	128	128	128	0	13	
17	1	8	0	199	1	159	228	128	128	128	128	128	128	128	128	0	13	
17	2	8	0	99	1	120	228	128	128	128	128	128	128	128	128	0	13	
17	3	8	0	9	1	149	214	128	128	128	128	128	128	128	128	0	13	
17	4	8	0	1	1	97	171	128	128	128	128	128	128	128	128	0	12	
17	5	8	0	0	1	120	152	127	152	127	152	127	152	127	152	0	11	
17	6	4	0	0	5	101	84	127	110	127	110	127	110	127	110	0	11	
17	7	4	0	0	10	121	97	127	34	127	34	127	34	127	34	0	10	
17	8	2	0	0	25	79	52	133	35	133	35	133	35	133	35	0	9	
17	9	1	0	0	40	114	80	130	196	130	196	130	196	130	196	0	1	
17	16	0	0	199	1	159	228	128	128	128	128	128	128	128	128	0	13	
17	17	0	0	1	1	97	171	128	128	128	128	128	128	128	128	0	12	
17	18	4	0	0	5	101	84	127	110	127	110	127	110	127	110	0	11	
18	0	8	3	231	1	92	213	128	128	128	128	128	128	128	128	0	11	
18	1	8	0	199	1	121	217	128	128	128	128	128	128	128	128	0	10	
18	2	8	0	99	1	106	217	128	128	128	128	128	128	128	128	0	10	
18	3	8	0	9	1	140	204	128	128	128	128	128	128	128	128	0	11	
18	4	8	0	1	1	96	163	128	128	128	128	128	128	128	128	0	10	
18	5	8	0	0	1	138	144	124	157	124	157	124	157	124	157	0	9	
18	6	4	0	0	5	150	79	123	112	123	112	123	112	123	112	0	8	
18	7	4	0	0	10	170	92	122	35	122	35	122	35	122	35	0	8	
18	8	2	0	0	25	141	49	121	38	121	38	121	38	121	38	0	7	
18	9	1	0	0	40	100	73	130	195	130	195	130	195	130	195	0	13	
18	16	0	0	199	1	121	217	128	128	128	128	128	128	128	128	0	10	
18	17	0	0	1	1	96	163	128	128	128	128	128	128	128	128	0	10	
18	18	4	0	0	5	150	79	123	112	123	112	123	112	123	112	0	8	
19	0	8	3	231	1	100	212	128	128	128	128	128	128	128	128	0	12	
19	1	8	0	199	1	125	218	128	128	128	128	128	128	128	128	0	11	
19	2	8	0	99	1	130	218	128	128	128	128	128	128	128	128	0	12	
19	3	8	0	9	1	106	206	128	128	128	128	128	128	128	128	0	12	
19	4	8	0	1	1	100	165	128	128	128	128	128	128	128	128	0	11	
19	5	8	0	0	1	119	147	129	160	129	160	129	160	129	160	0	11	
19	6	4	0	0	5	110	84	126	120	126	120	126	120	126	120	0	10	
19	7	4	0	0	10	98	101	130	43	130	43	130	43	130	43	0	9	
19	8	2	0	0	25	88	200	171	208	171	208	171	208	171	208	0	83	
19	9	1	0	0	40	91	35	129	122	129	122	129	122	129	122	255	213	
19	16	0	0	199	1	125	218	128	128	128	128	128	128	128	128	0	11	
19	17	0	0	1	1	100	165	128	128	128	128	128	128	128	128	0	11	
19	18	4	0	0	5	110	84	126	120	126	120	126	120	126	120	0	10	
20	0	8	3	231	1	86	212	128	128	128	128	128	128	128	128	0	13	
20	1	8	0	199	1	140	216	128	128	128	128	128	128	128	128	0	13	
20	2	8	0	99	1	134	216	128	128	128	128	128	128	128	128	0	13	
20	3	8	0	9	1	163	203	128	128	128	128	128	128	128	128	0	13	
20	4	8	0	1	1	147	162	128	128	128	128	128	128	128	128	0	12	
20	5	8	0	0	1	140	144	128	157	128	157	128	157	128	157	0	12	
20	6	4	0	0	5	163	79	127	113	127	113	127	113	127	113	0	11	
20	7	4	0	0	10	134	92	125	35	125	35	125	35	125	35	0	10	
20	8	2	0	0	25	187	48	128	37	128	37	128	37	128	37	0	9	
20	9	1	0	0	40	207	62	139	189	139	189	139	189	139	189	255	162	
20	16	0	0	199	1	140	216	128	128	128	128	128	128	128	128	0	13	
20	17	0	0	1	1	147	162	128	128	128	128	128	128	128	128	0	12	
20	18	4	0	0	5	163	79	127	113	127	113	127	113	127	113	0	11	
21	0	8	3	231	1	140	214	128	128	128	128	128	128	128	128	0	14	
21	1	8	0	199	1	168	219	128	128	128	128	128	128	128	128	0	14	
21	2	8	0	99	1	124	219	128	128	128	128	128	128	128	128	0	14	
21	3	8	0	9	1	116	206	128	128	128	128	128	128	128	128	0	14	
21	4	8	0	1	1	104	165	128	128	128	128	128	128	128	128	0	13	
21	5	8	0	0	1	136	146	124	159	124	159	124	159	124	159	0	13	
21	6	4	0	0	5	109	81	130	109	130	109	130	109	130	109	0	12	
21	7	4	0	0	10	157	93	126	34	126	34	126	34	126	34	0	11	
21	8	2	0	0	25	101	49	126	38	126	38	126	38	126	38	0	10	
21	9	1	0	0	40	90	60	126	185	126	185	126	185	126	185	0	10	
21	16	0	0	199	1	168	219	128	128	128	128	128	128	128	128	0	14	
21	17	0	0	1	1	104	165	128	128	128	128	128	128	128	128	0	13	
21	18	4	0	0	5	109	81	130	109	130	109	130	109	130	109	0	12	
22	0	8	3	231	1	119	216	128	128	128	128	128	128	128	128	0	10	
22	1	8	0	199	1	160	220	128	128	128	128	128	128	128	128	0	10	
22	2	8	0	99	1	147	220	128	128	128	128	128	128	128	128	0	10	
22	3	8	0	9	1	96	207	128	128	128	128	128	128	128	128	0	10	
22	4	8	0	1	1	98	166	128	128	128	128	128	128	128	128	0	9	
22	5	8	0	0	1	101	147	132	158	132	158	132	158	132	158	0	9	
22	6	4	0	0	5	99	82	127	116	127	116	127	116	127	116	0	8	
22	7	4	0	0	10	153	95	128	36	128	36	128	36	128	36	0	7	
22	8	2	0	0	25	178	55	123	33	123	33	123	33	123	33	0	6	
22	9	1	0	0	40	151	105	129	211	129	211	129	211	129	211	255	229	
22	16	0	0	199	1	160	220	128	128	128	128	128	128	128	128	0	10	
22	17	0	0	1	1	98	166	128	128	128	128	128	128	128	128	0	9	
22	18	4	0	0	5	99	82	127	116	127	116	127	116	127	116	0	8	
23	0	8	3	231	1	146	214	128	128	128	128	128	128	128	128	0	9	
23	1	8	0	199	1	172	219	128	128	128	128	128	128	128	128	0	8	
23	2	8	0	99	1	149	219	128	128	128	128	128	128	128	128	0	8	
23	3	8	0	9	1	94	207	128	128	128	128	128	128	128	128	0	8	
23	4	8	0	1	1	107	167	128	128	128	128	128	128	128	128	0	7	
