ProjIndex	Ch	ChIndex	ChInfo	Inj.Freq	Amp1High	AmpLow	Amp2High	Amp2Low	Gain1	AcqGap	AcqCNTHigh	AcqCntLow	TotalDMFreq	DM1	DM2	DM3
5	3	0	0	15	1	139	1	129	232	1	0	9	0	1	5	10	
5	4	0	2	3	1	135	1	130	1	1	0	9	0	1	5	10	
5	5	0	0	15	1	141	1	130	232	1	0	9	0	1	5	10	
5	6	0	0	15	1	134	1	126	232	1	0	9	0	1	5	10	
5	7	0	0	15	1	146	1	128	232	1	0	9	0	1	5	10	
5	8	0	0	15	1	130	1	119	232	1	0	9	0	1	5	10	
5	9	0	0	15	1	136	1	124	232	1	0	9	0	1	5	10	
5	10	0	0	15	1	129	1	108	232	1	0	9	0	1	5	10	
5	11	0	0	15	1	132	1	116	232	1	0	9	0	1	5	10	
5	12	0	0	15	1	141	1	122	232	1	0	9	0	1	5	10	
5	13	0	0	15	1	134	1	122	232	1	0	9	0	1	5	10	
5	14	0	0	15	1	137	1	125	232	1	0	9	0	1	5	10	
5	15	0	0	15	1	125	1	121	232	1	0	9	0	1	5	10	
5	16	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	17	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	18	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	19	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	20	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	21	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	22	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	23	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	24	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	25	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	26	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	27	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	28	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	29	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
5	30	0	3	3	1	128	1	128	1	1	0	9	0	1	5	10	
5	31	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	0	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	1	0	0	15	1	140	1	138	232	1	0	9	0	1	5	10	
6	2	0	0	15	1	115	1	125	232	1	0	9	0	1	5	10	
6	3	0	0	15	1	139	1	129	232	1	0	9	0	1	5	10	
6	4	0	2	3	1	135	1	130	1	1	0	9	0	1	5	10	
6	5	0	0	15	1	141	1	130	232	1	0	9	0	1	5	10	
6	6	0	0	15	1	134	1	126	232	1	0	9	0	1	5	10	
6	7	0	0	15	1	146	1	128	232	1	0	9	0	1	5	10	
6	8	0	0	15	1	130	1	119	232	1	0	9	0	1	5	10	
6	9	0	0	15	1	136	1	124	232	1	0	9	0	1	5	10	
6	10	0	0	15	1	129	1	108	232	1	0	9	0	1	5	10	
6	11	0	0	15	1	132	1	116	232	1	0	9	0	1	5	10	
6	12	0	0	15	1	141	1	122	232	1	0	9	0	1	5	10	
6	13	0	0	15	1	134	1	122	232	1	0	9	0	1	5	10	
6	14	0	0	15	1	137	1	125	232	1	0	9	0	1	5	10	
6	15	0	0	15	1	125	1	121	232	1	0	9	0	1	5	10	
6	16	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	17	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	18	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	19	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	20	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	21	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	22	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	23	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	24	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	25	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	26	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	27	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	28	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	29	0	3	3	1	128	1	128	1	1	0	9	0	1	5	10	
6	30	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
6	31	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	0	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	1	0	2	3	1	140	1	138	1	1	0	9	0	1	5	10	
7	2	0	0	15	1	115	1	125	232	1	0	9	0	1	5	10	
7	3	0	0	15	1	139	1	129	232	1	0	9	0	1	5	10	
7	4	0	0	15	1	135	1	130	232	1	0	9	0	1	5	10	
7	5	0	0	15	1	141	1	130	232	1	0	9	0	1	5	10	
7	6	0	0	15	1	134	1	126	232	1	0	9	0	1	5	10	
7	7	0	0	15	1	146	1	128	232	1	0	9	0	1	5	10	
7	8	0	0	15	1	130	1	119	232	1	0	9	0	1	5	10	
7	9	0	0	15	1	136	1	124	232	1	0	9	0	1	5	10	
7	10	0	0	15	1	129	1	108	232	1	0	9	0	1	5	10	
7	11	0	0	15	1	132	1	116	232	1	0	9	0	1	5	10	
7	12	0	0	15	1	141	1	122	232	1	0	9	0	1	5	10	
7	13	0	0	15	1	134	1	122	232	1	0	9	0	1	5	10	
7	14	0	0	15	1	137	1	125	232	1	0	9	0	1	5	10	
7	15	0	0	15	1	125	1	121	232	1	0	9	0	1	5	10	
7	16	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	17	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	18	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	19	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	20	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	21	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	22	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	23	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	24	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	25	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	26	0	3	3	1	128	1	128	1	1	0	9	0	1	5	10	
7	27	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	28	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	29	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	30	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
7	31	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	0	0	2	3	1	128	1	128	1	1	0	9	0	1	5	10	
8	1	0	0	15	1	140	1	138	232	1	0	9	0	1	5	10	
8	2	0	0	15	1	115	1	125	232	1	0	9	0	1	5	10	
8	3	0	0	15	1	139	1	129	232	1	0	9	0	1	5	10	
8	4	0	0	15	1	135	1	130	232	1	0	9	0	1	5	10	
8	5	0	0	15	1	141	1	130	232	1	0	9	0	1	5	10	
8	6	0	0	15	1	134	1	126	232	1	0	9	0	1	5	10	
8	7	0	0	15	1	146	1	128	232	1	0	9	0	1	5	10	
8	8	0	0	15	1	130	1	119	232	1	0	9	0	1	5	10	
8	9	0	0	15	1	136	1	124	232	1	0	9	0	1	5	10	
8	10	0	0	15	1	129	1	108	232	1	0	9	0	1	5	10	
8	11	0	0	15	1	132	1	116	232	1	0	9	0	1	5	10	
8	12	0	0	15	1	141	1	122	232	1	0	9	0	1	5	10	
8	13	0	0	15	1	134	1	122	232	1	0	9	0	1	5	10	
8	14	0	0	15	1	137	1	125	232	1	0	9	0	1	5	10	
8	15	0	0	15	1	125	1	121	232	1	0	9	0	1	5	10	
8	16	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	17	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	18	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	19	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	20	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	21	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	22	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	23	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	24	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	25	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	26	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	27	0	3	3	1	128	1	128	1	1	0	9	0	1	5	10	
8	28	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	29	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	30	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
8	31	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	0	0	2	3	1	128	1	128	1	1	0	9	0	1	5	10	
9	1	0	0	15	1	140	1	138	232	1	0	9	0	1	5	10	
9	2	0	0	15	1	115	1	125	232	1	0	9	0	1	5	10	
9	3	0	0	15	1	139	1	129	232	1	0	9	0	1	5	10	
9	4	0	0	15	1	135	1	130	232	1	0	9	0	1	5	10	
9	5	0	0	15	1	141	1	130	232	1	0	9	0	1	5	10	
9	6	0	0	15	1	134	1	126	232	1	0	9	0	1	5	10	
9	7	0	0	15	1	146	1	128	232	1	0	9	0	1	5	10	
9	8	0	0	15	1	130	1	119	232	1	0	9	0	1	5	10	
9	9	0	0	15	1	136	1	124	232	1	0	9	0	1	5	10	
9	10	0	0	15	1	129	1	108	232	1	0	9	0	1	5	10	
9	11	0	0	15	1	132	1	116	232	1	0	9	0	1	5	10	
9	12	0	0	15	1	141	1	122	232	1	0	9	0	1	5	10	
9	13	0	0	15	1	134	1	122	232	1	0	9	0	1	5	10	
9	14	0	0	15	1	137	1	125	232	1	0	9	0	1	5	10	
9	15	0	0	15	1	125	1	121	232	1	0	9	0	1	5	10	
9	16	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	17	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	18	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	19	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	20	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	21	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	22	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	23	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	24	0	3	3	1	128	1	128	1	1	0	9	0	1	5	10	
9	25	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	26	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	27	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	28	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	29	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	30	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
9	31	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	0	0	0	15	1	128	1	128	232	1	0	9	0	1	5	10	
10	1	0	0	15	1	140	1	138	232	1	0	9	0	1	5	10	
10	2	0	0	15	1	115	1	125	232	1	0	9	0	1	5	10	
10	3	0	0	15	1	139	1	129	232	1	0	9	0	1	5	10	
10	4	0	0	15	1	135	1	130	232	1	0	9	0	1	5	10	
10	5	0	2	3	1	141	1	130	1	1	0	9	0	1	5	10	
10	6	0	0	15	1	134	1	126	232	1	0	9	0	1	5	10	
